scenario,step,lane_id,queue_length,waiting_time,vehicle_count,throughput,signal_phase,emergency_count,accident_alert
normal,84,south,90,270,2,5,south,0,False
normal,84,west,59,177,1,0,south,0,False
normal,85,north,56,168,3,0,south,0,False
normal,85,east,42,126,2,0,south,0,False
normal,85,south,89,267,4,5,south,0,False
normal,85,west,60,180,1,0,south,0,False
normal,86,north,60,180,4,0,south,0,False
normal,86,east,44,132,2,0,south,0,False
normal,86,south,85,255,1,5,south,0,False
normal,86,west,63,189,3,0,south,0,False
normal,87,north,64,192,4,0,south,0,False
normal,87,east,48,144,4,0,south,0,False
normal,87,south,80,240,0,5,south,0,False
normal,87,west,66,198,3,0,south,0,False
normal,88,north,68,204,4,0,west,0,False
normal,88,east,49,147,1,0,west,0,False
normal,88,south,80,240,0,0,west,0,False
normal,88,west,63,189,2,5,west,0,False
normal,89,north,69,207,1,0,west,0,False
normal,89,east,50,150,1,0,west,0,False
normal,89,south,81,243,1,0,west,0,False
normal,89,west,58,174,0,5,west,0,False
normal,90,north,69,207,0,0,west,0,False
normal,90,east,52,156,2,0,west,0,False
normal,90,south,82,246,1,0,west,0,False
normal,90,west,53,159,0,5,west,0,False
normal,91,north,73,219,4,0,west,0,False
normal,91,east,55,165,3,0,west,0,False
normal,91,south,85,255,3,0,west,0,False
normal,91,west,50,150,2,5,west,0,False
normal,92,north,73,219,0,0,west,0,False
normal,92,east,55,165,0,0,west,0,False
normal,92,south,89,267,4,0,west,0,False
normal,92,west,45,135,0,5,west,0,False
normal,93,north,75,225,2,0,west,0,False
normal,93,east,58,174,3,0,west,0,False
normal,93,south,89,267,0,0,west,0,False
normal,93,west,40,120,0,5,west,0,False
normal,94,north,79,237,4,0,west,0,False
normal,94,east,59,177,1,0,west,0,False
normal,94,south,91,273,2,0,west,0,False
normal,94,west,38,114,3,5,west,0,False
normal,95,north,81,243,2,0,west,0,False
normal,95,east,61,183,2,0,west,0,False
normal,95,south,94,282,3,0,west,0,False
normal,95,west,33,99,0,5,west,0,False
normal,96,north,80,240,4,5,north,0,False
normal,96,east,63,189,2,0,north,0,False
normal,96,south,97,291,3,0,north,0,False
normal,96,west,33,99,0,0,north,0,False
normal,97,north,76,228,1,5,north,0,False
normal,97,east,66,198,3,0,north,0,False
normal,97,south,97,291,0,0,north,0,False
normal,97,west,34,102,1,0,north,0,False
normal,98,north,72,216,1,5,north,0,False
normal,98,east,68,204,2,0,north,0,False
normal,98,south,97,291,0,0,north,0,False
normal,98,west,35,105,1,0,north,0,False
normal,99,north,72,216,5,5,north,0,False
normal,99,east,71,213,3,0,north,0,False
normal,99,south,100,300,3,0,north,0,False
normal,99,west,35,105,0,0,north,0,False
normal,100,north,70,210,3,5,north,0,False
normal,100,east,72,216,1,0,north,0,False
normal,100,south,102,306,2,0,north,0,False
normal,100,west,37,111,2,0,north,0,False
normal,101,north,66,198,1,5,north,0,False
normal,101,east,77,231,5,0,north,0,False
normal,101,south,103,309,1,0,north,0,False
normal,101,west,39,117,2,0,north,0,False
normal,102,north,65,195,4,5,north,0,False
normal,102,east,77,231,0,0,north,0,False
normal,102,south,105,315,2,0,north,0,False
normal,102,west,39,117,0,0,north,0,False
normal,103,north,61,183,1,5,north,0,False
normal,103,east,80,240,3,0,north,0,False
normal,103,south,106,318,1,0,north,0,False
normal,103,west,39,117,0,0,north,0,False
normal,104,north,65,195,4,0,east,0,False
normal,104,east,76,228,1,5,east,0,False
normal,104,south,107,321,1,0,east,0,False
normal,104,west,39,117,0,0,east,0,False
normal,105,north,67,201,2,0,east,0,False
normal,105,east,71,213,0,5,east,0,False
normal,105,south,108,324,1,0,east,0,False
normal,105,west,40,120,1,0,east,0,False
normal,106,north,68,204,1,0,east,0,False
normal,106,east,67,201,1,5,east,0,False
normal,106,south,108,324,0,0,east,0,False
normal,106,west,42,126,2,0,east,0,False
normal,107,north,69,207,1,0,east,0,False
normal,107,east,63,189,1,5,east,0,False
normal,107,south,110,330,2,0,east,0,False
normal,107,west,43,129,1,0,east,0,False
normal,108,north,72,216,3,0,east,0,False
normal,108,east,63,189,5,5,east,0,False
normal,108,south,110,330,0,0,east,0,False
normal,108,west,44,132,1,0,east,0,False
normal,109,north,72,216,0,0,east,0,False
normal,109,east,59,177,1,5,east,0,False
normal,109,south,111,333,1,0,east,0,False
normal,109,west,45,135,1,0,east,0,False
normal,110,north,75,225,3,0,east,0,False
normal,110,east,58,174,4,5,east,0,False
normal,110,south,112,336,1,0,east,0,False
normal,110,west,47,141,2,0,east,0,False
normal,111,north,76,228,1,0,east,0,False
normal,111,east,56,168,3,5,east,0,False
normal,111,south,114,342,2,0,east,0,False
normal,111,west,48,144,1,0,east,0,False
normal,112,north,77,231,1,0,south,0,False
normal,112,east,56,168,0,0,south,0,False
normal,112,south,110,330,1,5,south,0,False
normal,112,west,51,153,3,0,south,0,False
normal,113,north,79,237,2,0,south,0,False
normal,113,east,56,168,0,0,south,0,False
normal,113,south,108,324,3,5,south,0,False
normal,113,west,51,153,0,0,south,0,False
normal,114,north,82,246,3,0,south,0,False
normal,114,east,58,174,2,0,south,0,False
normal,114,south,106,318,3,5,south,0,False
normal,114,west,51,153,0,0,south,0,False
normal,115,north,83,249,1,0,south,0,False
normal,115,east,59,177,1,0,south,0,False
normal,115,south,103,309,2,5,south,0,False
normal,115,west,53,159,2,0,south,0,False
normal,116,north,86,258,3,0,south,0,False
normal,116,east,59,177,0,0,south,0,False
normal,116,south,99,297,1,5,south,0,False
normal,116,west,56,168,3,0,south,0,False
normal,117,north,87,261,1,0,south,0,False
normal,117,east,60,180,1,0,south,0,False
normal,117,south,94,282,0,5,south,0,False
normal,117,west,58,174,2,0,south,0,False
normal,118,north,88,264,1,0,south,0,False
normal,118,east,61,183,1,0,south,0,False
normal,118,south,90,270,1,5,south,0,False
normal,118,west,62,186,4,0,south,0,False
normal,119,north,89,267,1,0,south,0,False
normal,119,east,63,189,2,0,south,0,False
normal,119,south,88,264,3,5,south,0,False
normal,119,west,65,195,3,0,south,0,False
peak,0,north,2,6,7,5,north,0,False
peak,0,east,5,15,5,0,north,0,False
peak,0,south,6,18,6,0,north,0,False
peak,0,west,2,6,2,0,north,0,False
peak,1,north,7,21,10,5,north,0,False
peak,1,east,11,33,6,0,north,0,False
peak,1,south,9,27,3,0,north,0,False
peak,1,west,5,15,3,0,north,0,False
peak,2,north,6,18,4,5,north,0,False
peak,2,east,15,45,4,0,north,0,False
peak,2,south,11,33,2,0,north,0,False
peak,2,west,10,30,5,0,north,0,False
peak,3,north,10,30,9,5,north,0,False
peak,3,east,19,57,4,0,north,0,False
peak,3,south,15,45,4,0,north,0,False
peak,3,west,13,39,3,0,north,0,False
peak,4,north,8,24,3,5,north,0,False
peak,4,east,25,75,6,0,north,0,False
peak,4,south,19,57,4,0,north,0,False
peak,4,west,15,45,2,0,north,0,False
peak,5,north,7,21,4,5,north,0,False
peak,5,east,28,84,3,0,north,0,False
peak,5,south,24,72,5,0,north,0,False
peak,5,west,19,57,4,0,north,0,False
peak,6,north,4,12,2,5,north,0,False
peak,6,east,36,108,8,0,north,0,False
peak,6,south,28,84,4,0,north,0,False
peak,6,west,23,69,4,0,north,0,False
peak,7,north,3,9,4,5,north,0,False
peak,7,east,40,120,4,0,north,0,False
peak,7,south,33,99,5,0,north,0,False
peak,7,west,29,87,6,0,north,0,False
peak,8,north,6,18,3,0,east,0,False
peak,8,east,39,117,4,5,east,0,False
peak,8,south,35,105,2,0,east,0,False
peak,8,west,34,102,5,0,east,0,False
peak,9,north,13,39,7,0,east,0,False
peak,9,east,42,126,8,5,east,0,False
peak,9,south,37,111,2,0,east,0,False
peak,9,west,39,117,5,0,east,0,False
peak,10,north,19,57,6,0,east,0,False
peak,10,east,43,129,6,5,east,0,False
peak,10,south,39,117,2,0,east,0,False
peak,10,west,42,126,3,0,east,0,False
peak,11,north,25,75,6,0,east,0,False
peak,11,east,40,120,2,5,east,0,False
peak,11,south,42,126,3,0,east,0,False
peak,11,west,46,138,4,0,east,0,False
peak,12,north,28,84,3,0,east,0,False
peak,12,east,39,117,4,5,east,0,False
peak,12,south,43,129,1,0,east,0,False
