timestamp,selected_phase,green_duration,reason,decision_latency_seconds,scenario,controller
66,south,3,dqn_policy_accident_aware,6e-06,accident,ai_controller
67,south,3,dqn_policy_accident_aware,6e-06,accident,ai_controller
68,south,3,dqn_policy_accident_aware,8e-06,accident,ai_controller
69,south,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
70,south,3,dqn_policy_accident_aware,6e-06,accident,ai_controller
71,south,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
72,south,3,dqn_queue_pressure,7e-06,accident,ai_controller
73,south,3,dqn_queue_pressure,7e-06,accident,ai_controller
74,south,3,dqn_queue_pressure,6e-06,accident,ai_controller
75,south,3,dqn_policy,7e-06,accident,ai_controller
76,south,3,dqn_policy,6e-06,accident,ai_controller
77,south,3,dqn_policy,6e-06,accident,ai_controller
78,south,3,dqn_policy,6e-06,accident,ai_controller
79,south,3,dqn_policy,6e-06,accident,ai_controller
80,south,3,dqn_policy,6e-06,accident,ai_controller
81,south,3,dqn_policy,6e-06,accident,ai_controller
82,south,3,dqn_policy,6e-06,accident,ai_controller
83,south,3,dqn_policy,6e-06,accident,ai_controller
84,south,3,dqn_policy,6e-06,accident,ai_controller
85,south,3,dqn_policy,6e-06,accident,ai_controller
86,south,3,dqn_policy,6e-06,accident,ai_controller
87,south,3,dqn_policy,6e-06,accident,ai_controller
88,south,3,dqn_policy,6e-06,accident,ai_controller
89,south,3,dqn_policy,6e-06,accident,ai_controller
90,west,3,dqn_queue_pressure,6e-06,accident,ai_controller
91,south,3,dqn_policy,6e-06,accident,ai_controller
92,south,3,dqn_policy,6e-06,accident,ai_controller
93,south,3,dqn_policy,6e-06,accident,ai_controller
94,west,3,dqn_queue_pressure,6e-06,accident,ai_controller
95,west,3,dqn_queue_pressure,6e-06,accident,ai_controller
